transition,cout,cslew,dslew,ctoq,qslew,tsetup,thold
'10,60.0,40.0,10.0,30.033339999999995,6.144445999999999,12.237548828125007,5.523681640625006
'01,60.0,40.0,20.0,26.09525,5.799424999999999,22.71118164062501,17.47436523437501
'10,60.0,40.0,20.0,30.033339999999995,6.144445999999999,13.177490234375007,4.583740234375007
'01,60.0,40.0,40.0,26.09525,5.799424999999999,26.336669921875007,14.654541015625009
'10,60.0,40.0,40.0,30.033339999999995,6.144445999999999,16.802978515625007,2.9724121093750067
'01,60.0,40.0,100.0,26.09515,5.799397,45.806884765625,19.757080078125014
'10,60.0,40.0,100.0,30.03325,6.144444999999999,31.573486328125014,7.806396484375007
'01,60.0,40.0,150.0,26.09426,5.799028,61.92016601562501,33.184814453125014
'10,60.0,40.0,150.0,30.033170000000002,6.1445,41.51000976562501,15.59448242187501
'01,60.0,100.0,10.0,40.94197,5.7971569999999994,3.2409667968750067,34.93041992187501
'10,60.0,100.0,10.0,45.00325,6.145155,-8.038330078124995,19.62280273437501
'01,60.0,100.0,20.0,40.94197,5.7971569999999994,4.180908203125007,33.99047851562501
'10,60.0,100.0,20.0,45.00325,6.145155,-7.098388671874995,18.682861328125007
'01,60.0,100.0,40.0,40.94197,5.7971569999999994,7.806396484375007,31.17065429687501
'10,60.0,100.0,40.0,45.00325,6.145155,-3.4729003906249942,15.191650390625007
'01,60.0,100.0,100.0,40.94187,5.797129999999999,25.66528320312501,30.63354492187501
'10,60.0,100.0,100.0,45.00317,6.145154,7.000732421875008,14.654541015625009
'01,60.0,100.0,150.0,40.94101,5.796688,39.495849609375014,41.37573242187501
'10,60.0,100.0,150.0,45.00312999999999,6.145248,12.908935546875007,18.28002929687501
'01,60.0,150.0,10.0,52.104429999999994,5.796424999999999,-9.649658203124995,46.20971679687501
'10,60.0,150.0,10.0,56.24445,6.145593,-21.868896484374996,30.902099609375018
'01,60.0,150.0,20.0,52.104429999999994,5.796424999999999,-8.709716796874995,45.269775390625
'10,60.0,150.0,20.0,56.24445,6.145593,-20.928955078125,29.962158203125014
'01,60.0,150.0,40.0,52.104429999999994,5.796424999999999,-5.218505859374994,42.44995117187501
'10,60.0,150.0,40.0,56.24445,6.145593,-17.437744140624996,26.47094726562501
'01,60.0,150.0,100.0,52.10433,5.796399,11.968994140625007,41.91284179687501
'10,60.0,150.0,100.0,56.244369999999996,6.145589999999999,-8.843994140624995,22.576904296875007
'01,60.0,150.0,150.0,52.103429999999996,5.7961659999999995,24.725341796875007,49.83520507812501
'10,60.0,150.0,150.0,56.24433,6.145588999999999,-4.815673828124995,24.456787109375007
'01,80.0,10.0,10.0,18.0647,7.151799,35.333251953125014,13.043212890625007
'10,80.0,10.0,10.0,22.085749999999997,7.57057,26.47094726562501,-0.9216308593749938
'01,80.0,10.0,20.0,18.064739999999997,7.151751,36.273193359375014,12.103271484375007
'10,80.0,10.0,20.0,22.085769999999997,7.570525999999999,27.410888671875007,-1.727294921874994
'01,80.0,10.0,40.0,18.0647,7.151799,39.89868164062501,9.283447265625009
'10,80.0,10.0,40.0,22.085749999999997,7.57057,31.036376953125014,-1.9958496093749938
'01,80.0,10.0,100.0,18.06459,7.151775999999999,60.84594726562501,17.071533203125007
'10,80.0,10.0,100.0,22.085639999999998,7.570569,49.29809570312501,7.806396484375007
'01,80.0,10.0,150.0,18.06367,7.151584,79.64477539062501,33.31909179687501
'10,80.0,10.0,150.0,22.085589999999996,7.570609999999999,63.39721679687503,19.488525390625014
'01,80.0,20.0,10.0,21.325029999999998,7.149977999999999,30.230712890625007,13.983154296875007
'10,80.0,20.0,10.0,25.38188,7.570728999999999,20.83129882812501,1.3610839843750064
'01,80.0,20.0,20.0,21.325029999999998,7.149891,31.036376953125014,13.177490234375007
'10,80.0,20.0,20.0,25.38187,7.570679,21.771240234375007,0.4211425781250064
'01,80.0,20.0,40.0,21.325029999999998,7.149977999999999,34.661865234375014,10.223388671875007
'10,80.0,20.0,40.0,25.38188,7.570728999999999,25.39672851562501,-0.5187988281249938
'01,80.0,20.0,100.0,21.32492,7.149953999999999,55.20629882812502,17.877197265625007
'10,80.0,20.0,100.0,25.38178,7.570727999999999,42.181396484375014,7.269287109375007
'01,80.0,20.0,150.0,21.32393,7.149737,72.930908203125,33.050537109375014
'10,80.0,20.0,150.0,25.38175,7.5706430000000005,54.53491210937502,17.20581054687501
'01,80.0,40.0,10.0,27.061429999999998,7.147758,22.039794921875007,17.74291992187501
'10,80.0,40.0,10.0,31.17262,7.570684999999999,11.968994140625007,5.792236328125006
'01,80.0,40.0,20.0,27.061429999999998,7.147758,22.97973632812501,16.802978515625007
'10,80.0,40.0,20.0,31.17262,7.570684999999999,12.908935546875007,4.852294921875007
'01,80.0,40.0,40.0,27.061429999999998,7.147758,26.47094726562501,13.983154296875007
'10,80.0,40.0,40.0,31.17262,7.570684999999999,16.40014648437501,3.1066894531250067
'01,80.0,40.0,100.0,27.06132,7.147733,46.20971679687501,20.56274414062501
'10,80.0,40.0,100.0,31.17253,7.570683,31.036376953125014,7.537841796875007
'01,80.0,40.0,150.0,27.06031,7.147538999999999,62.45727539062502,34.259033203125014
'10,80.0,40.0,150.0,31.172459999999994,7.570703,40.83862304687501,15.191650390625007
'01,80.0,100.0,10.0,41.90765999999999,7.144838999999999,3.3752441406250067,34.124755859375014
'10,80.0,100.0,10.0,46.142039999999994,7.571425,-8.172607421874995,19.35424804687501
'01,80.0,100.0,20.0,41.90765999999999,7.144838999999999,4.315185546875007,33.31909179687501
'10,80.0,100.0,20.0,46.142039999999994,7.571425,-7.232666015624995,18.414306640625007
'01,80.0,100.0,40.0,41.90765999999999,7.144838999999999,7.940673828125007,30.364990234375018
'10,80.0,100.0,40.0,46.142039999999994,7.571425,-3.607177734374994,15.05737304687501
'01,80.0,100.0,100.0,41.90755,7.144813999999999,26.068115234375007,30.902099609375018
'10,80.0,100.0,100.0,46.14196,7.5714239999999995,6.866455078125008,14.923095703125007
'01,80.0,100.0,150.0,41.90662,7.144590999999999,40.167236328125014,42.44995117187501
'10,80.0,100.0,150.0,46.14194,7.571319999999999,12.640380859375007,18.54858398437501
'01,80.0,150.0,10.0,53.07001999999999,7.143943,-9.515380859374995,45.404052734375014
'10,80.0,150.0,10.0,57.382979999999996,7.571748,-22.003173828125,30.63354492187501
'01,80.0,150.0,20.0,53.07001999999999,7.143943,-8.575439453124995,44.59838867187501
'10,80.0,150.0,20.0,57.382979999999996,7.571748,-21.063232421874996,29.69360351562501
'01,80.0,150.0,40.0,53.07001999999999,7.143943,-4.949951171874995,41.644287109375014
'10,80.0,150.0,40.0,57.382979999999996,7.571748,-17.572021484374993,26.20239257812501
'01,80.0,150.0,100.0,53.06991,7.143917999999999,12.371826171875007,41.51000976562501
'10,80.0,150.0,100.0,57.3829,7.571747,-8.978271484374995,22.97973632812501
'01,80.0,150.0,150.0,53.06896,7.143698,25.39672851562501,50.90942382812501
'10,80.0,150.0,150.0,57.382859999999994,7.571745999999999,-4.949951171874995,24.993896484375007
'01,100.0,10.0,10.0,19.011439999999997,8.513210999999998,35.198974609375014,12.371826171875007
'10,100.0,10.0,10.0,23.206,9.012287,25.93383789062501,-0.9216308593749938
'01,100.0,10.0,20.0,19.011439999999997,8.513178,36.13891601562501,11.431884765625007
'10,100.0,10.0,20.0,23.20601,9.012362,26.73950195312501,-1.8615722656249938
'01,100.0,10.0,40.0,19.011439999999997,8.513210999999998,39.76440429687501,8.612060546875009
'10,100.0,10.0,40.0,23.206,9.012287,30.364990234375018,-2.264404296874994
'01,100.0,10.0,100.0,19.011329999999997,8.513189999999998,60.711669921875014,17.340087890625007
'10,100.0,10.0,100.0,23.2059,9.012284999999999,48.22387695312501,7.000732421875008
'01,100.0,10.0,150.0,19.010299999999997,8.512852999999998,79.64477539062501,33.587646484375014
'10,100.0,10.0,150.0,23.205849999999998,9.012405,61.92016601562501,18.28002929687501
'01,100.0,20.0,10.0,22.271489999999996,8.511329,30.09643554687501,13.446044921875007
'10,100.0,20.0,10.0,26.50204,9.01236,20.42846679687501,1.4953613281250064
'01,100.0,20.0,20.0,22.271509999999996,8.511401,31.036376953125014,12.506103515625007
